date,ticker,shares_outstanding,nav
2025-10-29,EWJ,185850000,
2025-10-29,EWY,72250000,
2025-10-29,EWZ,193250000,
2025-10-30,EWJ,186300000,
2025-10-30,EWY,72250000,
2025-10-30,EWZ,193250000,
2025-10-31,EWJ,188100000,
2025-10-31,EWY,72650000,
2025-10-31,EWZ,193250000,
2025-11-03,EWJ,188100000,
2025-11-03,EWY,72650000,
2025-11-03,EWZ,193250000,
2025-11-04,EWJ,188550000,
2025-11-04,EWY,73100000,
2025-11-04,EWZ,193250000,
2025-11-05,EWJ,188550000,
2025-11-05,EWY,73600000,
2025-11-05,EWZ,193250000,
2025-11-06,EWJ,190500000,
2025-11-06,EWY,73600000,
2025-11-06,EWZ,193250000,
2025-11-07,EWJ,190500000,
2025-11-07,EWY,73850000,
2025-11-07,EWZ,193250000,
2025-11-10,EWJ,190500000,
2025-11-10,EWY,74300000,
2025-11-10,EWZ,193250000,
2025-11-11,EWJ,190500000,
2025-11-11,EWY,74300000,
2025-11-11,EWZ,193250000,
2025-11-12,EWJ,190500000,
2025-11-12,EWY,74700000,
2025-11-12,EWZ,194000000,
2025-11-13,EWJ,190500000,
2025-11-13,EWY,75200000,
2025-11-13,EWZ,194000000,
2025-11-14,EWJ,190500000,
2025-11-14,EWY,75200000,
2025-11-14,EWZ,194000000,
2025-11-17,EWJ,190500000,
2025-11-17,EWY,75450000,
2025-11-17,EWZ,194000000,
2025-11-18,EWJ,190500000,
2025-11-18,EWY,75950000,
2025-11-18,EWZ,194000000,
2025-11-19,EWJ,190500000,
2025-11-19,EWY,75950000,
2025-11-19,EWZ,194000000,
2025-11-20,EWJ,190500000,
2025-11-20,EWY,75950000,
2025-11-20,EWZ,194000000,
2025-11-21,EWJ,190500000,
2025-11-21,EWY,75950000,
2025-11-21,EWZ,194000000,
2025-11-24,EWJ,190500000,
2025-11-24,EWY,75950000,
2025-11-24,EWZ,194000000,
2025-11-25,EWJ,190500000,
2025-11-25,EWY,76850000,
2025-11-25,EWZ,196300000,
2025-11-26,EWJ,190500000,
2025-11-26,EWY,76850000,
2025-11-26,EWZ,196300000,
2025-11-28,EWJ,190500000,
2025-11-28,EWY,77750000,
2025-11-28,EWZ,196300000,
2025-12-01,EWJ,190500000,
2025-12-01,EWY,77750000,
2025-12-01,EWZ,196300000,
2025-12-02,EWJ,190500000,
2025-12-02,EWY,77750000,
2025-12-02,EWZ,196300000,
2025-12-03,EWJ,189450000,
2025-12-03,EWY,77750000,
2025-12-03,EWZ,196300000,
2025-12-04,EWJ,189450000,
2025-12-04,EWY,77750000,
2025-12-04,EWZ,196300000,
2025-12-05,EWJ,189450000,
2025-12-05,EWY,77750000,
2025-12-05,EWZ,196300000,
2025-12-08,EWJ,189450000,
2025-12-08,EWY,78950000,
2025-12-08,EWZ,198300000,
2025-12-09,EWJ,189450000,
2025-12-09,EWY,80450000,
2025-12-09,EWZ,198300000,
2025-12-10,EWJ,189450000,
2025-12-10,EWY,80450000,
2025-12-10,EWZ,198300000,
2025-12-11,EWJ,189450000,
2025-12-11,EWY,80450000,
2025-12-11,EWZ,198300000,
2025-12-12,EWJ,188700000,
2025-12-12,EWY,80450000,
2025-12-12,EWZ,198300000,
2025-12-15,EWJ,188700000,
2025-12-15,EWY,80450000,
2025-12-15,EWZ,198300000,
2025-12-16,EWJ,188700000,
2025-12-16,EWY,80450000,
2025-12-16,EWZ,198300000,
2025-12-17,EWJ,190350000,
2025-12-17,EWY,81250000,
2025-12-17,EWZ,203050000,
2025-12-18,EWJ,190350000,
2025-12-18,EWY,82500000,
2025-12-18,EWZ,203050000,
2025-12-19,EWJ,190350000,
2025-12-19,EWY,82500000,
2025-12-19,EWZ,205950000,
2025-12-22,EWJ,190350000,
2025-12-22,EWY,82500000,
2025-12-22,EWZ,206350000,
2025-12-23,EWJ,190350000,
2025-12-23,EWY,82500000,
2025-12-23,EWZ,206350000,
2025-12-24,EWJ,190800000,
2025-12-24,EWY,82500000,
2025-12-24,EWZ,206350000,
2025-12-26,EWJ,192750000,
2025-12-26,EWY,82500000,
2025-12-26,EWZ,206350000,
2025-12-29,EWJ,193200000,
2025-12-29,EWY,83100000,
2025-12-29,EWZ,206350000,
2025-12-30,EWJ,193200000,
2025-12-30,EWY,83450000,
2025-12-30,EWZ,209350000,
2025-12-31,EWJ,193200000,
2025-12-31,EWY,83450000,
2025-12-31,EWZ,209350000,
2026-01-02,EWJ,193200000,
2026-01-02,EWY,83450000,
2026-01-02,EWZ,209350000,
2026-01-05,EWJ,193200000,
2026-01-05,EWY,84450000,
2026-01-05,EWZ,209350000,
